employee_id,department,role_level,training_module_id,module_name,module_type,start_date,completion_date,completion_status,score,feedback_rating,time_spent_minutes,preferred_learning_style,last_login_date
E0001,IT,Senior Manager,M10,Module 10,Video,2024-06-16,2024-06-16,Completed,,1.0,66,Kinesthetic,24/06/24
E0001,IT,Senior Manager,M11,Module 11,Video,2024-01-17,2024-01-21,Completed,,3.0,92,Kinesthetic,29/01/24
E0001,IT,Senior Manager,M12,Module 12,Video,2024-06-01,2024-06-06,Completed,,2.0,12,Kinesthetic,09/06/24
E0001,IT,Senior Manager,M18,Module 18,Quiz,2024-04-28,,Dropped,,,20,Kinesthetic,13/05/24
E0001,IT,Senior Manager,M2,Module 2,Video,2024-05-28,,Dropped,,,13,Kinesthetic,30/05/24
E0001,IT,Senior Manager,M20,Module 20,Article,2024-03-08,,Incomplete,,,2,Kinesthetic,15/03/24
E0001,IT,Senior Manager,M24,Module 24,Article,2024-02-05,2024-02-14,Completed,,1.0,116,Kinesthetic,12/02/24
E0001,IT,Senior Manager,M3,Module 3,Article,2024-03-29,2024-04-01,Completed,,5.0,5,Kinesthetic,04/04/24
E0001,IT,Senior Manager,M4,Module 4,Quiz,2024-05-25,,Dropped,,,44,Kinesthetic,06/06/24
E0001,IT,Senior Manager,M5,Module 5,Quiz,2024-01-09,,Incomplete,,,32,Kinesthetic,19/01/24
E0001,IT,Senior Manager,M6,Module 6,Quiz,2024-04-22,2024-04-24,Completed,53.0,3.0,36,Kinesthetic,07/05/24
E0001,IT,Senior Manager,M8,Module 8,Video,2024-04-06,,Incomplete,,,55,Kinesthetic,07/04/24
E0002,Risk,Senior Associate,M1,Module 1,Video,2024-01-25,2024-01-31,Completed,,5.0,58,Reading/Writing,07/02/24
E0002,Risk,Senior Associate,M10,Module 10,Video,2024-01-08,,Incomplete,,,12,Reading/Writing,23/01/24
E0002,Risk,Senior Associate,M11,Module 11,Video,2024-01-21,2024-01-24,Completed,,4.0,14,Reading/Writing,27/01/24
E0002,Risk,Senior Associate,M14,Module 14,Quiz,2024-06-02,,Dropped,,,5,Reading/Writing,05/06/24
E0002,Risk,Senior Associate,M16,Module 16,Quiz,2024-05-06,2024-05-08,Completed,54.0,4.0,91,Reading/Writing,09/05/24
E0002,Risk,Senior Associate,M18,Module 18,Quiz,2024-06-14,,Dropped,,,44,Reading/Writing,29/06/24
E0002,Risk,Senior Associate,M25,Module 25,Article,2024-05-23,,Dropped,,,21,Reading/Writing,02/06/24
E0002,Risk,Senior Associate,M4,Module 4,Quiz,2024-02-18,,Incomplete,,,9,Reading/Writing,02/03/24
E0002,Risk,Senior Associate,M5,Module 5,Quiz,2024-03-31,2024-04-03,Completed,57.0,2.0,80,Reading/Writing,01/04/24
E0002,Risk,Senior Associate,M6,Module 6,Quiz,2024-02-03,,Incomplete,,,33,Reading/Writing,05/02/24
E0002,Risk,Senior Associate,M7,Module 7,Video,2024-01-02,,Incomplete,,,57,Reading/Writing,16/01/24
E0003,Compliance,Associate,M1,Module 1,Video,2024-05-22,2024-05-24,Completed,,3.0,61,Reading/Writing,02/06/24
E0003,Compliance,Associate,M11,Module 11,Video,2024-06-26,,Incomplete,,,46,Reading/Writing,09/07/24
E0003,Compliance,Associate,M14,Module 14,Quiz,2024-03-16,,Dropped,,,40,Reading/Writing,21/03/24
E0003,Compliance,Associate,M15,Module 15,Video,2024-01-21,2024-01-25,Completed,,2.0,100,Reading/Writing,30/01/24
E0003,Compliance,Associate,M16,Module 16,Quiz,2024-02-21,,Dropped,,,9,Reading/Writing,24/02/24
E0003,Compliance,Associate,M19,Module 19,Webinar,2024-06-21,2024-06-29,Completed,,4.0,13,Reading/Writing,05/07/24
E0003,Compliance,Associate,M2,Module 2,Video,2024-05-31,2024-06-02,Completed,,1.0,108,Reading/Writing,31/05/24
E0003,Compliance,Associate,M20,Module 20,Article,2024-05-07,,Incomplete,,,39,Reading/Writing,14/05/24
E0003,Compliance,Associate,M21,Module 21,Video,2024-05-31,2024-05-31,Completed,,1.0,113,Reading/Writing,05/06/24
E0003,Compliance,Associate,M22,Module 22,Quiz,2024-04-26,,Dropped,,,46,Reading/Writing,09/05/24
E0003,Compliance,Associate,M23,Module 23,Webinar,2024-02-09,2024-02-11,Completed,,4.0,77,Reading/Writing,10/02/24
E0003,Compliance,Associate,M5,Module 5,Quiz,2024-01-16,2024-01-17,Completed,80.0,1.0,66,Reading/Writing,25/01/24
E0003,Compliance,Associate,M8,Module 8,Video,2024-05-10,2024-05-17,Completed,,3.0,55,Reading/Writing,14/05/24
E0004,Compliance,Senior Associate,M1,Module 1,Video,2024-06-27,2024-06-27,Completed,,2.0,66,Visual,04/07/24
E0004,Compliance,Senior Associate,M10,Module 10,Video,2024-04-25,,Incomplete,,,22,Visual,01/05/24
E0004,Compliance,Senior Associate,M11,Module 11,Video,2024-02-22,,Dropped,,,47,Visual,07/03/24
E0004,Compliance,Senior Associate,M13,Module 13,Quiz,2024-02-13,,Incomplete,,,9,Visual,25/02/24
E0004,Compliance,Senior Associate,M14,Module 14,Quiz,2024-03-26,2024-03-28,Completed,66.0,1.0,26,Visual,06/04/24
E0004,Compliance,Senior Associate,M15,Module 15,Video,2024-02-26,2024-03-07,Completed,,3.0,88,Visual,27/02/24
E0004,Compliance,Senior Associate,M16,Module 16,Quiz,2024-03-24,2024-04-01,Completed,62.0,3.0,82,Visual,25/03/24
E0004,Compliance,Senior Associate,M19,Module 19,Webinar,2024-01-31,,Incomplete,,,1,Visual,15/02/24
E0004,Compliance,Senior Associate,M20,Module 20,Article,2024-02-08,2024-02-17,Completed,,4.0,29,Visual,18/02/24
E0004,Compliance,Senior Associate,M22,Module 22,Quiz,2024-06-20,2024-06-23,Completed,56.0,2.0,97,Visual,21/06/24
E0004,Compliance,Senior Associate,M24,Module 24,Article,2024-01-02,,Dropped,,,16,Visual,16/01/24
E0004,Compliance,Senior Associate,M25,Module 25,Article,2024-05-27,2024-06-06,Completed,,3.0,71,Visual,09/06/24
E0004,Compliance,Senior Associate,M3,Module 3,Article,2024-05-11,2024-05-17,Completed,,5.0,75,Visual,20/05/24
E0004,Compliance,Senior Associate,M5,Module 5,Quiz,2024-02-20,,Dropped,,,44,Visual,28/02/24
E0004,Compliance,Senior Associate,M6,Module 6,Quiz,2024-01-01,2024-01-02,Completed,94.0,5.0,54,Visual,14/01/24
E0004,Compliance,Senior Associate,M8,Module 8,Video,2024-02-11,,Dropped,,,1,Visual,26/02/24
E0005,Corporate Banking,Manager,M1,Module 1,Video,2024-01-02,2024-01-03,Completed,,5.0,118,Visual,15/01/24
E0005,Corporate Banking,Manager,M10,Module 10,Video,2024-04-21,,Dropped,,,28,Visual,05/05/24
E0005,Corporate Banking,Manager,M12,Module 12,Video,2024-06-22,2024-06-24,Completed,,5.0,9,Visual,02/07/24
E0005,Corporate Banking,Manager,M13,Module 13,Quiz,2024-01-21,2024-01-24,Completed,87.0,4.0,92,Visual,26/01/24
E0005,Corporate Banking,Manager,M17,Module 17,Webinar,2024-06-24,,Incomplete,,,39,Visual,29/06/24
E0005,Corporate Banking,Manager,M18,Module 18,Quiz,2024-03-14,2024-03-22,Completed,94.0,4.0,108,Visual,17/03/24
E0005,Corporate Banking,Manager,M2,Module 2,Video,2024-05-09,,Dropped,,,19,Visual,11/05/24
E0005,Corporate Banking,Manager,M21,Module 21,Video,2024-06-12,2024-06-12,Completed,,4.0,39,Visual,22/06/24
E0005,Corporate Banking,Manager,M22,Module 22,Quiz,2024-01-29,,Dropped,,,51,Visual,13/02/24
E0005,Corporate Banking,Manager,M5,Module 5,Quiz,2024-06-27,2024-07-01,Completed,99.0,1.0,9,Visual,02/07/24
E0005,Corporate Banking,Manager,M6,Module 6,Quiz,2024-03-16,2024-03-24,Completed,97.0,4.0,26,Visual,16/03/24
E0006,IT,Manager,M11,Module 11,Video,2024-02-17,2024-02-19,Completed,,5.0,82,Visual,28/02/24
E0006,IT,Manager,M12,Module 12,Video,2024-03-27,2024-04-01,Completed,,1.0,27,Visual,05/04/24
E0006,IT,Manager,M16,Module 16,Quiz,2024-06-09,2024-06-12,Completed,93.0,4.0,53,Visual,23/06/24
E0006,IT,Manager,M18,Module 18,Quiz,2024-01-16,,Incomplete,,,11,Visual,16/01/24
E0006,IT,Manager,M19,Module 19,Webinar,2024-02-05,2024-02-06,Completed,,4.0,12,Visual,18/02/24
E0006,IT,Manager,M20,Module 20,Article,2024-04-09,,Incomplete,,,24,Visual,11/04/24
E0006,IT,Manager,M23,Module 23,Webinar,2024-05-18,,Dropped,,,47,Visual,24/05/24
E0006,IT,Manager,M4,Module 4,Quiz,2024-01-19,,Incomplete,,,57,Visual,24/01/24
E0006,IT,Manager,M5,Module 5,Quiz,2024-05-26,2024-05-28,Completed,90.0,5.0,10,Visual,27/05/24
E0006,IT,Manager,M6,Module 6,Quiz,2024-04-16,2024-04-24,Completed,70.0,4.0,37,Visual,19/04/24
E0006,IT,Manager,M7,Module 7,Video,2024-03-28,2024-04-06,Completed,,3.0,25,Visual,05/04/24
E0006,IT,Manager,M9,Module 9,Webinar,2024-04-14,,Dropped,,,5,Visual,27/04/24
E0007,IT,Associate,M10,Module 10,Video,2024-01-31,2024-02-02,Completed,,1.0,13,Reading/Writing,14/02/24
E0007,IT,Associate,M11,Module 11,Video,2024-01-16,,Incomplete,,,39,Reading/Writing,24/01/24
E0007,IT,Associate,M13,Module 13,Quiz,2024-01-15,2024-01-19,Completed,75.0,4.0,28,Reading/Writing,23/01/24
