employee_id,department,role_level,training_module_id,module_name,module_type,start_date,completion_date,completion_status,score,feedback_rating,time_spent_minutes,preferred_learning_style,last_login_date
E0040,Compliance,Manager,M4,Module 4,Quiz,24/01/24,,Incomplete,,,23,Kinesthetic,01/02/24
E0012,HR,Senior Manager,M18,Module 18,Quiz,01/02/24,,Incomplete,,,36,Kinesthetic,12/02/24
E0148,Compliance,Associate,M2,Module 2,Video,18/06/24,22/06/24,Completed,,1,114,Reading/Writing,21/06/24
E0098,Risk,Senior Manager,M21,Module 21,Video,03/04/24,08/04/24,Completed,,3,31,Kinesthetic,05/04/24
E0156,HR,Senior Associate,M18,Module 18,Quiz,03/03/24,10/03/24,Completed,74,3,86,Reading/Writing,13/03/24
E0197,Retail Banking,Senior Associate,M2,Module 2,Video,21/03/24,,Dropped,,,5,Reading/Writing,31/03/24
E0055,HR,Senior Manager,M13,Module 13,Quiz,13/06/24,,Incomplete,,,17,Reading/Writing,20/06/24
E0191,Corporate Banking,VP,M9,Module 9,Webinar,29/05/24,,Dropped,,,24,Reading/Writing,02/06/24
E0131,IT,Associate,M25,Module 25,Article,13/01/24,15/01/24,Completed,,2,106,Auditory,15/01/24
E0099,IT,VP,M15,Module 15,Video,15/05/24,,Incomplete,,,44,Visual,23/05/24
E0197,HR,Manager,M4,Module 4,Quiz,16/03/24,,Incomplete,,,30,Visual,24/03/24
E0129,Compliance,VP,M4,Module 4,Quiz,09/06/24,,Incomplete,,,10,Kinesthetic,14/06/24
E0139,Corporate Banking,Associate,M20,Module 20,Article,23/03/24,,Incomplete,,,8,Kinesthetic,01/04/24
E0062,Retail Banking,Senior Associate,M19,Module 19,Webinar,21/01/24,28/01/24,Completed,,1,102,Reading/Writing,25/01/24
E0169,IT,VP,M6,Module 6,Quiz,08/03/24,,Incomplete,,,60,Reading/Writing,17/03/24
E0103,HR,Manager,M15,Module 15,Video,12/05/24,,Incomplete,,,16,Reading/Writing,14/05/24
E0087,Retail Banking,VP,M18,Module 18,Quiz,28/02/24,28/02/24,Completed,54,1,34,Visual,29/02/24
E0085,Retail Banking,VP,M8,Module 8,Video,12/03/24,,Incomplete,,,35,Reading/Writing,27/03/24
E0063,IT,Senior Manager,M7,Module 7,Video,25/01/24,04/02/24,Completed,,4,50,Auditory,07/02/24
E0120,HR,Associate,M22,Module 22,Quiz,16/06/24,16/06/24,Completed,75,3,107,Visual,23/06/24
E0050,Compliance,VP,M15,Module 15,Video,05/02/24,,Incomplete,,,18,Auditory,12/02/24
E0020,IT,VP,M4,Module 4,Quiz,13/01/24,14/01/24,Completed,98,2,26,Auditory,28/01/24
E0124,Compliance,Senior Manager,M2,Module 2,Video,12/02/24,,Incomplete,,,25,Kinesthetic,26/02/24
E0074,IT,VP,M22,Module 22,Quiz,04/05/24,07/05/24,Completed,68,2,12,Visual,14/05/24
E0015,Retail Banking,VP,M16,Module 16,Quiz,08/05/24,08/05/24,Completed,82,1,113,Reading/Writing,10/05/24
E0153,Retail Banking,Senior Associate,M13,Module 13,Quiz,31/01/24,09/02/24,Completed,88,1,84,Visual,13/02/24
E0169,Corporate Banking,VP,M17,Module 17,Webinar,21/03/24,,Incomplete,,,43,Kinesthetic,28/03/24
E0068,IT,Senior Associate,M22,Module 22,Quiz,14/06/24,,Dropped,,,21,Visual,14/06/24
E0118,Corporate Banking,VP,M4,Module 4,Quiz,19/01/24,27/01/24,Completed,66,2,49,Visual,26/01/24
E0095,Risk,Senior Associate,M15,Module 15,Video,19/05/24,,Incomplete,,,43,Kinesthetic,22/05/24
E0035,Risk,Associate,M4,Module 4,Quiz,21/05/24,25/05/24,Completed,68,5,31,Kinesthetic,27/05/24
E0176,HR,Manager,M17,Module 17,Webinar,05/05/24,,Incomplete,,,6,Auditory,13/05/24
E0012,Retail Banking,Manager,M25,Module 25,Article,03/02/24,,Incomplete,,,48,Auditory,16/02/24
E0144,Retail Banking,Associate,M3,Module 3,Article,25/06/24,03/07/24,Completed,,1,111,Kinesthetic,29/06/24
E0111,Compliance,Associate,M10,Module 10,Video,03/04/24,08/04/24,Completed,,2,92,Reading/Writing,06/04/24
